slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,grouping
567,-33.522605895996094,-33.500000000001656,0.022605895994438185,0.0005110265337113564,4.821455622293863e-05,0.02678513526916504,5
568,-33.63490295410156,-34.00000000000165,0.36509704590008596,0.13329585292496948,4.821455622293863e-05,0.029574155807495117,5
569,-33.74230194091797,-34.00000000000165,0.2576980590836797,0.06640828965549568,4.821455622293863e-05,0.025699853897094727,5
570,-33.80337905883789,-34.00000000000165,0.19662094116375783,0.03865979450412192,4.821455622293863e-05,0.026741981506347656,5
571,-33.746299743652344,-34.00000000000165,0.2537002563493047,0.06436382007170292,4.821455622293863e-05,0.02175307273864746,5
572,-33.6419792175293,-33.500000000001656,0.1419792175276413,0.02015809820976129,4.821455622293863e-05,0.02195572853088379,5
573,-33.49193572998047,-33.500000000001656,0.008064270021186815,6.503245097461239e-05,4.821455622293863e-05,0.03338289260864258,5
574,-33.35012435913086,-33.500000000001656,0.1498756408707962,0.022462707726431875,4.821455622293863e-05,0.030823945999145508,5
575,-33.26126480102539,-33.500000000001656,0.23873519897626494,0.056994495230236815,4.821455622293863e-05,0.025081872940063477,5
576,-33.1594352722168,-33.500000000001656,0.3405647277848587,0.1159843338111749,4.821455622293863e-05,0.03190016746520996,5
577,-33.17976760864258,-33.500000000001656,0.32023239135907744,0.10254878447555334,4.821455622293863e-05,0.029330015182495117,5
578,-33.38054275512695,-33.500000000001656,0.11945724487470244,0.014270033353054622,4.821455622293863e-05,0.02650594711303711,5
579,-33.54951095581055,-33.500000000001656,0.04951095580889131,0.0024513347451099884,4.821455622293863e-05,0.026551008224487305,5
580,-33.714847564697266,-34.00000000000165,0.28515243530438283,0.08131191136002024,4.821455622293863e-05,0.03129291534423828,5
581,-33.88373565673828,-34.00000000000165,0.11626434326336721,0.013517397514462081,4.821455622293863e-05,0.04404783248901367,5
582,-33.92355728149414,-34.00000000000165,0.07644271850750783,0.00584348921281808,4.821455622293863e-05,0.02927994728088379,5
583,-33.88404846191406,-34.00000000000165,0.11595153808758596,0.013444759184876897,4.821455622293863e-05,0.02721691131591797,5
584,-33.83798599243164,-34.00000000000165,0.16201400757000783,0.026248538648894554,4.821455622293863e-05,0.032991886138916016,5
585,-33.718990325927734,-33.500000000001656,0.2189903259260788,0.04795676284921022,4.821455622293863e-05,0.03130602836608887,5
586,-33.59762191772461,-33.500000000001656,0.09762191772295381,0.009530038819907164,4.821455622293863e-05,0.026369810104370117,5
587,-33.54805374145508,-33.500000000001656,0.04805374145342256,0.0023091620676723816,4.821455622293863e-05,0.02582406997680664,5
588,-33.45405960083008,-33.500000000001656,0.04594039917157744,0.002110520276043873,4.821455622293863e-05,0.029716968536376953,5
589,-33.31742477416992,-33.500000000001656,0.1825752258317337,0.03333371308750856,4.821455622293863e-05,0.024273157119750977,5
590,-33.297672271728516,-33.500000000001656,0.20232772827313994,0.040936509628169554,4.821455622293863e-05,0.02568984031677246,5
591,-33.27315902709961,-33.500000000001656,0.2268409729020462,0.051456826987146854,4.821455622293863e-05,0.02853107452392578,5
592,-33.220394134521484,-33.500000000001656,0.2796058654801712,0.07817944001091559,4.821455622293863e-05,0.025248050689697266,5
593,-33.20044708251953,-33.500000000001656,0.2995529174821243,0.08973195037205238,4.821455622293863e-05,0.024706125259399414,5
594,-33.24226760864258,-33.500000000001656,0.25773239135907744,0.06642598555566866,4.821455622293863e-05,0.02528691291809082,5
595,-33.32472229003906,-33.500000000001656,0.17527770996259306,0.030722275609730895,4.821455622293863e-05,0.02741098403930664,5
596,-33.39328384399414,-33.500000000001656,0.10671615600751494,0.011388337953020267,4.821455622293863e-05,0.04084491729736328,5
597,-33.497867584228516,-33.500000000001656,0.0021324157731399396,4.547197029536006e-06,4.821455622293863e-05,0.03325700759887695,5
598,-33.62698745727539,-34.00000000000165,0.37301254272625783,0.13913835703110833,4.821455622293863e-05,0.027191877365112305,5
599,-33.74488830566406,-34.00000000000165,0.25511169433758596,0.06508197658779388,4.821455622293863e-05,0.029727935791015625,5
600,-33.75986862182617,-34.00000000000165,0.24013137817547658,0.05766307878445375,4.821455622293863e-05,0.031462907791137695,5
